Fecha,Pasajeros por dia,Viajes por dia,Tarifario por dia,Total recaudado por dia,Pago con tarjeta,Pago con efectivo,Tipo de Taxi
2019-04-01,23702,19835,316614.97,370341.46,10799,7350,green
2019-04-01,12,11,128.5,167.72,6,5,green
2019-04-02,24350,20641,334998.64,392732.19,11777,7035,green
2019-04-03,25378,21354,360182.83,420115.7,12048,7305,green
2019-04-04,1,1,0.0,0.0,0,1,green
2019-04-04,26427,22357,374429.48,438249.42,12735,7600,green
2019-04-05,27923,23393,367317.75,433954.99,13043,8479,green
2019-04-05,1,1,10.0,13.57,1,0,green
2019-04-06,26386,21247,323659.58,382178.99,11051,8848,green
2019-04-07,21895,18069,292601.88,341721.91000000003,9739,6856,green
2019-04-08,20707,17798,278408.38,329849.6,8992,6823,green
2019-04-09,22179,19085,296492.14,354137.26,9944,6906,green
2019-04-09,1,1,8.5,9.3,1,0,green
2019-04-10,22864,19312,306456.54,364312.26,10151,6908,green
2019-04-10,2,2,14.5,21.17,2,0,green
2019-04-11,23943,20265,317394.0,378796.2,10571,7305,green
2019-04-11,2,2,17.0,20.1,1,1,green
2019-04-12,25835,21238,314406.56,377735.81,11053,8305,green
2019-04-13,23956,19482,287962.1,343928.7,9445,8678,green
2019-04-14,19790,16182,235970.91,281150.48,7937,6915,green
2019-04-15,21956,18396,275611.08,329625.44,9420,7155,green
2019-04-16,21964,18432,290334.8,346122.33,9675,6839,green
2019-04-17,22513,19245,308031.75,366677.05,9898,6992,green
2019-04-18,23154,20012,315283.47,377416.07,9799,7518,green
2019-04-19,21813,18352,266910.29,321465.57,8629,7866,green
2019-04-20,22686,18455,256511.48,307592.21,8592,8356,green
2019-04-21,19604,16066,236573.68,282653.84,7608,6927,green
2019-04-22,19232,16239,243043.63,292326.79,7880,6642,green
2019-04-23,19631,16863,263307.86,316807.35,8349,6461,green
2019-04-24,20627,18018,287147.97,343850.54,8721,6734,green
2019-04-25,21726,18972,293972.33,354140.32,9379,7033,green
2019-04-26,23210,19245,273368.36,332548.7,9882,7592,green
2019-04-27,22751,18674,265505.19,319718.8,9061,8162,green
2019-04-28,19299,15590,227925.13,272897.82,7745,6436,green
2019-04-29,19643,17135,270881.77,323628.02,8311,6460,green
2019-04-30,20330,17867,283107.75,338866.35,8837,6562,green
2019-04-30,10,10,131.5,161.55,4,6,green
2019-05-01,1,1,4.0,4.8,0,1,green
2019-05-01,12,12,140.01,167.89000000000001,4,7,green
2019-05-01,21830,18886,287618.95,346651.14,9234,7221,green
2019-05-02,22429,19479,298014.14,358197.48,9562,7533,green
2019-05-03,23833,20384,307317.94,369291.94,9898,8210,green
2019-05-03,3,3,37.0,43.150000000000006,1,2,green
2019-05-03,1,1,23.5,30.36,1,0,green
2019-05-04,23364,19137,276257.07,331199.94,9080,8555,green
2019-05-04,4,4,31.0,38.95,0,4,green
2019-05-05,18655,15061,214266.14,256079.57,7343,6461,green
2019-05-06,18855,16394,261793.87,310787.77,8025,6390,green
2019-05-07,21359,17737,275314.38,327267.85,9417,6803,green
2019-05-08,21549,18021,286288.72,341407.75,9873,6593,green
2019-05-09,22685,18715,287711.07,344839.79,10379,6917,green
2019-05-10,23418,19253,295088.07,353015.51,10353,7536,green
2019-05-11,22817,18362,264080.3,315118.44,8792,8475,green
2019-05-12,19955,15951,227320.61,270905.47000000003,8059,6783,green
2019-05-13,21089,17419,264057.24,315601.71,9491,6560,green
2019-05-14,21258,17748,272142.12,325138.88,9885,6396,green
2019-05-15,21396,17991,285191.81,338287.78,9690,6765,green
2019-05-16,22283,18797,297788.46,355024.48,10227,7072,green
2019-05-17,23619,19397,299521.77,357193.58,10390,7688,green
2019-05-18,25232,20296,297807.65,353468.13,9743,9332,green
2019-05-19,20596,16419,235177.6,280623.32,8235,7205,green
2019-05-20,19857,16600,259065.53,308049.36,8714,6524,green
2019-05-21,20493,17053,265713.19,317721.21,9104,6477,green
2019-05-22,21102,17772,281710.19,335680.7,9537,6662,green
2019-05-23,21803,18048,282575.04,337010.97000000003,9803,6794,green
2019-05-23,1,1,8.0,11.0,1,0,green
2019-05-24,22295,18308,283511.61,337131.01,9495,7502,green
2019-05-24,1,1,4.5,8.19,1,0,green
2019-05-25,1,1,29.0,30.3,1,0,green
2019-05-25,19907,15782,223384.23,265879.62,7344,7551,green
2019-05-26,1,1,12.0,13.3,0,1,green
2019-05-26,18024,14213,203677.43,241044.28,6818,6559,green
2019-05-27,14569,11659,165169.0,198468.6,5900,5020,green
2019-05-28,20052,16613,255772.01,305210.09,9161,6028,green
2019-05-29,21352,17640,270949.79,323058.46,9666,6477,green
2019-05-30,22152,18207,279331.38,333058.44,9876,6930,green
2019-05-31,35,28,277.0,349.65,11,17,green
2019-05-31,21779,18068,283312.32,335564.4,9133,7592,green
2019-06-01,22891,18435,264390.95,314892.09,8740,8618,green
2019-06-01,26,19,177.0,216.88,7,12,green
2019-06-02,20053,16032,236556.59,281915.31,8199,6832,green
2019-06-03,19731,16342,259235.66,305657.62,8311,6689,green
2019-06-04,1,1,2.5,3.8,0,1,green
2019-06-04,14602,12415,190329.26,227127.33000000002,6310,5179,green
2019-06-05,19278,15989,238437.9,287360.6,8516,6392,green
2019-06-06,21982,17979,266460.84,318512.88,9728,6875,green
2019-06-07,23583,19136,276415.21,330250.78,9850,8000,green
2019-06-08,22485,18017,247365.13,295639.35,8521,8360,green
2019-06-09,18995,15302,209240.11,249378.34,7428,6628,green
2019-06-10,20237,16204,227388.44,272594.83,8747,6263,green
2019-06-11,19883,16186,241392.59,287912.01,8849,6157,green
2019-06-12,20270,17258,251349.45,300037.27,8773,6692,green
2019-06-13,22783,18489,269710.59,324290.99,10322,6858,green
2019-06-14,23089,18826,280211.66,334469.04,9738,7715,green
2019-06-15,22558,18255,262728.35,315120.61,8534,8441,green
2019-06-15,3,3,23.0,34.96,3,0,green
2019-06-16,19049,15052,211469.9,254004.95,7252,6608,green
2019-06-17,19566,15957,234393.58,281035.86,8449,6419,green
2019-06-18,20291,16753,241533.2,291386.22000000003,9029,6421,green
2019-06-19,21395,17479,260834.81,313002.53,9424,6674,green
2019-06-20,22187,18042,264280.28,318068.94,9532,7207,green
2019-06-21,22464,18501,279182.72,334004.34,9493,7656,green
2019-06-22,22313,17837,251664.7,302473.76,8350,8229,green
2019-06-23,18984,15161,221470.93,265147.67,7335,6582,green
2019-06-24,19013,15757,238235.44,284613.1,8014,6332,green
2019-06-25,19700,16259,238886.83,287334.15,8468,6399,green
2019-06-26,20781,17089,256104.63,306951.65,8770,6705,green
2019-06-27,20599,17288,265650.54,318562.31,8935,6748,green
2019-06-28,23076,18685,269704.49,324315.34,9486,7900,green
2019-06-29,21689,17287,241514.55,289085.82,7817,8212,green
2019-06-30,17724,14173,201637.93,241286.74,6767,6323,green
2019-06-30,19,15,191.5,234.21,8,7,green
2019-07-01,18276,15074,220390.26,263658.59,7348,6417,green
2019-07-01,21,15,141.5,181.44,7,8,green
2019-07-02,18199,15271,222604.62,267373.91000000003,7666,6146,green
2019-07-03,19293,16045,238088.29,283893.73,7716,6856,green
2019-07-04,12988,10191,142030.88,169343.84,4813,4772,green
2019-07-05,17493,14160,194333.26,233447.6,6517,6620,green
2019-07-06,17580,14038,190487.95,228824.58000000002,6454,6720,green
2019-07-07,16288,13155,188549.98,226163.93,6507,5544,green
2019-07-08,17117,14468,211354.84,252817.59,7181,5803,green
2019-07-09,17905,15144,225736.09,271503.41000000003,7694,5815,green
2019-07-10,18788,15821,234771.64,280960.89,8209,6039,green
2019-07-11,20657,17159,243030.95,294016.78,8989,6664,green
2019-07-12,20659,17170,245318.77,292148.24,8702,7127,green
2019-07-13,22010,17472,244273.95,291973.4,8295,8043,green
2019-07-14,17544,14003,198553.09,238881.17,6902,6006,green
2019-07-15,17255,14566,214457.64,257641.16,7301,5783,green
2019-07-16,18188,15453,231093.37,277348.96,8110,5840,green
2019-07-17,20342,17141,248215.3,299063.41000000003,9292,6309,green
2019-07-18,19278,16162,238799.23,288072.22000000003,8759,6036,green
2019-07-19,21863,17784,256881.68,309768.93,9144,7478,green
2019-07-20,19099,15514,210966.98,253894.72,7325,7236,green
2019-07-21,16513,13143,178982.77,215250.31,6540,5743,green
2019-07-22,18007,15284,215517.08,259583.94,7935,5971,green
2019-07-23,16805,14660,220601.8,266271.93,7732,5399,green
2019-07-24,17849,15466,237853.28,286641.56,7964,5775,green
2019-07-25,19044,15991,242467.43,290779.63,8440,6038,green
2019-07-26,19916,16680,249817.3,299313.46,8444,6813,green
